Boy,Girl
Abelard,Adalgisa
Adie,Adelaide
Adler,Adolfina
Adolph,Aemilia
Alaric,Alberta
Albert,Alice
Albrecht,Alisha
Alger,Amelia
Ancel,Amerie
Arland,Anneliese
Armand,Antje
Arnold,Arabelle
Avicus,Aria
Baldwin,Arrietty
Baltasar,Aubrey
Baron,Berit
Bergen,Berlynn
Bernard,Binney
Bernstein,Bluma
Bertram,Bruna
Bingham,Callan
Bogart,Cecania
Brandeis,Clay
Bronson,Dagmar
Bud,Dale
Burke,Dame
Burle,Della
Carsten,Dustin
Clay,Ebba
Clovis,Edwina
Colbert,Elfriede
Dagobert,Emma
Dalbert,Emmylou
Dale,Ermine
Derek,Faiga
Dewitt,Farica
Dian,Frederica
Dieter,Frieda
Dietrich,Galiana
Dolf,Geraldine
Drake,Gertrude
Dutch,Gretchen
Eberhard,Griselda
Egmont,Hallam
Elbert,Heidi
Emery,Henrietta
Ethelred,Hilda
Everett,Honey
Falk,Ilsa
Ferdinand,Imelda
Franz,Irma
Frederick,Isela
Fremont,Jarvia
Fritz,Jenell
Gary,Jerolyn
Geert,Johanna
Geoffrey,Joss
Gerlac,Kalona
Gilbert,Karel
Godfrey,Karla
Hagan,Karlotta
Hahn,Kateri
Hammet,Katrin
Harbin,Katrina
Harlan,Kelby
Harry,Kerstin
Heinrich,Klarissa
Heller,Leisel
Henry,Leoma
Herbert,Leona
Herman,Leonie
Hernan,Liese
Hershel,Liesel
Hildebrand,Lise
Hobart,Lorelei
Horst,Lotte
Hubert,Louanna
Hugh,Louisa
Humbert,Luana
Huni,Lucina
Hutch,Lysa
Ing,Mallory
Ingram,Mandel
Ivo,Mariel
Jerry,Maritza
Kagan,Mathilda
Kant,Meryl
Karcher,Meta
Karl,Mina
Kasch,Morgen
Kass,Nixie
Kearn,Norberta
Kellen,Nordica
Kepler,Notburga
Kiefer,Odelia
Klaus,Odella
Klein,Olinda
Konrad,Oma
Kurt,Orlantha
Lance,Ormanda
Lando,Otylia
Lang,Quartz
Lear,Rae
Len,Rayma
Leonard,Richelle
Lindberg,Roderica
Loring,Rolanda
Louis,Rory
Ludwig,Rosamund
Luther,Schmetterling
Lyulf,Senta
Mallory,Serilda
Mandel,Sieglinde
Manfred,Silke
Mathias,Sommer
Meyer,Sonnenschein
Miles,Tabea
Milo,Tawanda
Nevin,Tillie
Norbert,Trude
Oberon,Trula
Obert,Ulla
Odette,Ulrika
Odis,Ulva
Orlan,Uta
Ormand,Viveka
Ormanda,Walda
Osborn,Wanda
Osten,Wilhelmina
Otis,Wilma
Otto,Winola
Paulos,Zelda
Penrod,Zelinda
Rainart,Zelma
Redmond,Zenzi
Reinhart,
Reinhold,
Rikard,
Ring,
Ritter,
Roderick,
Roger,
Roland,
Rolf,
Rollins,
Ross,
Roswald,
Roth,
Rudeger,
Rudolph,
Rune,
Schaffer,
Schmidt,
Schneider,
Sinbad,
Stark,
Stefan,
Stein,
Strom,
Tab,
Theobold,
Tyson,
Uben,
Uberto,
Ubrig,
Ubrigens,
Uhr,
Ulas,
Ulbrecht,
Ulbrich,
Ulexite,
Ulgar,
Ulman,
Ulriah,
Ulrich,
Unser,
Uwe,
Vaduz,
Valdermar,
Varick,
Varner,
Verile,
Verner,
Vid,
Vilem,
Vilmos,
Volker,
Waggoner,
Wagner,
Walbert,
Waldemar,
Waldron,
Walmond,
Walten,
Walter,
Waltraut,
Warner,
Warren,
Wes,
Wilbert,
Willis,
Wilmer,
Wilson,
Winfield,
Yale,
Yohann,
Zamael,
Zelig,
,